question,label
The chemical element with the atomic number 19 is?,0
What disease has no known treatment?,0
The highest mountain in Asia is known as?,0
inflation means specific prices are rising and relative prices are falling?,1
In what city was the headquarters of the US Occupation Zone located?,0
could any dye available in the microbiology lab be used in place of nigrosin for negative staining?,1
is bring me to life a christian song?,1
Where are the group elders located?,0
What have computers in police cars enabled for investigation?,0
How did hunters obliterate the advantage bestowed upon the oryx by evolution?,0
are prince and hunter from hollyoaks real twins?,1
what is high emotional intelligence ?,0
"After joining the European Economic Community in the 90's, what did Portugal begin building?",0
can i use a tracfone with straight talk service?,1
What medical field does the treatment of infectious diseases fall into?,0
has west virginia ever played ohio state in football?,1
Who provided funds to encourage lending and restore faith in commercial banks in the aftermath of the financial crisis of 2007?,0
What do a variety of industries obtain benefit from?,0
did austria qualify for the world cup 2018?,1
What evasive action did not keep Tolmir from being found guilty?,0
"In 1985, how many people were murdered in Richmond?",0
did the irish fight in the civil war?,1
who sings better off dead in better off dead?,0
how do producers eat carnivores?,0
does alex karev die when he gets shot?,1
is there a movie to kill a mockingbird?,1
The capital city of France is?,0
does marvel own the rights to fantastic four?,1
did greece qualify for the world cup 2018?,1
What architectural style was used to design the Virginia State Capitol?,0
"How many IndyMac account holders held funds in excess of the FDIC's insured amount of US$100,000?",0
How far away from the Confederate executive mansion was the Virginia State Capitol?,0
Who did the Bronx vote against for mayor in 2005?,0
is the movie at first sight based on a true story?,1
What cultures' visual representations are included in visual anthropology?,0
did the ucf player with one hand get drafted?,1
are there any actors from hogan's heroes still alive?,1
What subfield of anthropolgy studies mental health?,0
does patrick wilson sing in phantom of the opera?,1
what does estee lauder do?,0
is there such a thing as certified email?,1
What Christian denomination did Eisenhower belong to?,0
are turpentine and mineral spirits the same thing?,1
is there any such thing as a mini pig?,1
Where can the Nepal Art Council Gallery be found?,0
can internal bleeding in the stomach kill you?,1
can you drink when your 18 with your parents in wisconsin?,1
did bradley cooper sing in a star is botn?,1
What was Greece's public debt forecast to hit as low of a percentage of GDP of in 2000?,0
What virus' strains strengthen their victims extremely quickly before killing them?,0
did gerry rafferty sing stuck in the middle with you?,1
are there wine vineyards on martha's vineyard?,1
is it valid to refer to the makapansgat pebble as an artwork?,1
did the queen mother buy the scottish castle?,1
what is a harlot in the bible?,0
is bangkok hilton based on a true story?,1
will a female ferret dies without a mate?,1
are there any english words with no vowels?,1
What is khorovats?,0
is oxygen the final electron acceptor in cellular respiration?,1
What stops quantitation of the target antigen?,0
What type of planes most commonly land at Princess Juliana International Airport?,0
Very little of modern Tajikistan was part of what empire?,0
what freezes faster ? hot or cold water ?,0
does blanche die in a streetcar named desire?,1
is a fifa soccer field bigger than a football field?,1
When Malloy became president of Notre Dame what was the size of the endowment?,0
does america's most wanted still come on?,1
"What do Jehovah Witnesses see themselves as, which transcends national boundaries and ethnic loyalties?",0
does treason carry the death penalty in england?,1
How many amendments usually come up for a vote each year?,0
what ended the era of good feelings?,0
What led to the Bronx's population growth?,0
is axl rose the new lead singer of acdc?,1
has qatar ever played in the world cup?,1
The currency used in China is?,0
In what area of Kathmandu is the National Museum?,0
can a prosecutor refile charges after a mistrial?,1
is there a stand your ground law in arizona?,1
How many ships did Greece's navy lose in the late 1970s?,0
What is the second biggest aluminum plant in Central Asia?,0
What type of screening is generally recommended?,0
were the two oil crisis in the 1970s?,1
is it illegal to jaywalk in new york?,1
is to catch a predator still on tv?,1
what exclusion were some historians critical of in the definition of victims of authority?,0
is madden girl and steve madden the same?,1
What percentage of students at Notre Dame are the children of former Notre Dame students?,0
is saudi aramco the biggest company in the world?,1
does tyler the creator produce his own music?,1
do ross and rachel stay together at the end?,1
Matter usually does not need to be used in conjunction with what?,0
is the eye of sauron in the books?,1
is vanilla sugar the same as regular sugar?,1
What do feral animals usually eat?,0
was the partridge family based on the cowsills?,1
who invented geothermal energy technology?,0
What is one of the career paths many Jehovah's Witnesses choose to take?,0
Deities represent what importance?,0
is weed legal for personal use in the uk?,1
When were the last results of the energy explorations expected?,0
What can all UK officers do?,0
is the world cup host nation automatically qualify?,1
can you have more than one constructor in a class c++?,1
is the proton number the same as the atomic number?,1
Why can one find thousands of anthropological references to the topics?,0
saturday night takeaway is it the last series?,1
are all xbox 360 controllers compatible with pc?,1
do any of the dogs die in 8 below?,1
is jurassic park 2 on the same island?,1
in the nfl does the clock stop when you go out of bounds?,1
can an off duty cop carry a gun?,1
can you threaten to take someone to court?,1
Guerrillas in Central Africa were known as what?,0
are the blue lagoon characters brother and sister?,1
What do religions communities have to register with?,0
In what year did King Gustav III begin his reign?,0
who is doing the 2011 super bowl halftime show?,0
is anyone born in the us automatically a citizen?,1
is harmony of the seas the biggest cruise ship in the world?,1
what year did martin luther king die?,0
When did the U.S. Senate first pass a financial reform bill?,0
What project is estimated to cost around US$965 million?,0
does andy get his job back from nellie?,1
is season 5 the last for silicon valley?,1
is it illegal to flash lights to warn of police?,1
is there a season 13 for criminal minds?,1
is bourbon street in the french quarter in new orleans?,1
What people are not distinct linguistically and culturally from most Tajiks?,0
is the world cup of soccer played every year?,1
How did the Thames River Police pay their employees?,0
does the constitution say life liberty and the pursuit of happiness?,1
Where is Zakria's shrine?,0
how a rocket engine works?,0
What type of climate does St. Barts typically have?,0
What did the ceasefire guaranteed?,0
