question,label
Who was Samuel Johnsons 's friend and biographer ?,0
Italy is the largest producer of what ?,0
What is habeas corpus ?,0
are cell membrane and plasma membrane the same?,1
What causes an earthquake ?,0
is a mastercard the same as a credit card?,1
How many different countries export coffee ?,0
How much does a poodle weigh ?,0
What is the capital of California ?,0
What U.S. Air Force general led the first bombing raid over Tokyo ?,0
"What 's the better-known identity of John Merrick , the noble ogre of Victorian England ?",0
What is the difference between khaki and chino ?,0
What is real time processing ?,0
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,0
is season 2 of this is us over?,1
true or false anaphylaxis generally only affects the skin and eyes?,1
What are the three most successful companies of our time ?,0
What is the acronym for the rating system for air conditioner efficiency ?,0
does the prince die in game of thrones?,1
do pam and jim break up in the office?,1
What U.S. general was court-martialled for criticizing American air power ?,0
Hitler came to power in Germany in what year ?,0
Where can I look at a perpetual calendar ?,0
is there a tunnel between england and france?,1
Who is the director of intergovernmental affairs for the San Diego county ?,0
What 's known as The queen of Drinks ?,0
What songs were popular in 1948 ?,0
What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,0
"How long is the world 's largest ship , in meters ?",0
are platypus the only mammals that lay eggs?,1
What is the difference between microprocessors & microcontrollers ?,0
is hollywood in the city of los angeles?,1
is alaska almost as big as the united states?,1
How do you do a bibliography page ?,0
What newspaper serves Salt Lake City ?,0
is the letter j in the latin alphabet?,1
can a social security number have 8 digits?,1
What does the word `` meta '' mean ?,0
Who is the prophet of the religion of Islam ?,0
is gram flour and chickpea flour the same?,1
does a notary have to be a lawyer?,1
has anyone ever received more than one medal of honor?,1
What Mormon leader was said to have had 27 wives ?,0
are clary and jace actually siblings in the show?,1
is john wayne airport same as santa ana?,1
Who sought to create The Great Society ?,0
did sam make it home on quantum leap?,1
What is the origin of the surname of Braun ?,0
"What was archy , and mehitabel ?",0
What disease does Katharine Hepburn have that makes her voice shake ?,0
is there a smoking area in bodrum airport?,1
What Ernest Hemingway novel had the working title Fiesta ?,0
What is the chance of conceiving quadruplets ?,0
What pseudonym did William Sydney Porter use in writing The Gift of the Magi ?,0
is monday 28 may a holiday in usa?,1
Who is the Prophet of Medina ?,0
Why do men snore ?,0
can you lose your right to vote in usa?,1
has the uk ever been hit by a hurricane?,1
What 's the longest river in Canada ?,0
can you own an automatic weapon in texas?,1
"What creature is the absolute fastest in moving in the world , birds , mammals , etc. , ?",0
What five cards make up a perfect Cribbage hand ?,0
What British general surrendered to the colonial army at Saratoga ?,0
Where does Mother Angelica live ?,0
does eddie vedder sing in temple of the dog?,1
is one day in the life of ivan denisovich fiction?,1
in chess can a knight jump over two pieces?,1
What city does McCarren Airport serve ?,0
When was Berlin 's Brandenburg gate erected ?,0
How many students attend the University of Massachusetts ?,0
How you can raise your IQ ?,0
What is the U.S. location of Procter & Gamble corporate offices ?,0
is pyruvate converted to acetyl coa in the mitochondrial matrix?,1
Where is the bridge over the river Kwai ?,0
is hanger steak and skirt steak the same?,1
does a trust have to have a trustee?,1
