question,label
do iran and afghanistan speak the same language?,1
do good samaritan laws protect those who help at an accident?,1
is windows movie maker part of windows essentials?,1
is confectionary sugar the same as powdered sugar?,1
is elder scrolls online the same as skyrim?,1
can you use oyster card at epsom station?,1
will there be a season 4 of da vinci's demons?,1
is the federal court the same as the supreme court?,1
did abraham lincoln write the letter in saving private ryan?,1
is batman and robin a sequel to batman forever?,1
is a wolverine the same as a badger?,1
will there be a green lantern 2 movie?,1
does the icc has jurisdiction in the united states?,1
calcium carbide cac2 is the raw material for the production of acetylene?,1
is there a now you see me 3 coming out?,1
does a penalty shoot out goal count towards the golden boot?,1
will there be a new season of cutthroat kitchen?,1
is jack sikma in the hall of fame?,1
can elves and humans mate lord of the rings?,1
the boy in the plastic bubble based on true story?,1
science begins with the premise that knowledge should first be acquired through observation?,1
is tim brown in the hall of fame?,1
can you drink alcohol in public in denmark?,1
is jersey currency legal tender in the uk?,1
have the milwaukee bucks ever won a championship?,1
does the world cup final go to penalties?,1
is kingdom manga based on a true story?,1
is croatia part of the european economic area?,1
can u marry a dead person in france?,1
is saline and sodium chloride the same thing?,1
is there a treatment for the bubonic plague?,1
does buffy's mom know she's a slayer?,1
was the leaning tower of pisa built leaning?,1
is the movie fool's gold a true story?,1
has any nfl team played the superbowl at home?,1
does each australian state have its own constitution?,1
can you have a right and left bundle branch block?,1
do you always have to say check in chess?,1
is an australian shepherd the same as an australian cattle dog?,1
is tomato puree and tomato sauce the same thing?,1
is the blues brothers based on a true story?,1
is newcastle upon tyne the same as newcastle?,1
is post office and royal mail the same?,1
has any supreme court nominee not been confirmed?,1
is thanksgiving always the last thursday of the month?,1
is lord of the rings after the hobbit?,1
is the fallen movie going to have a sequel?,1
does anyone on instagram have 1 billion followers?,1
in the phantom menace is padme the queen?,1
is lord of the rings considered an epic?,1
does the euro sign go before the number?,1
can stainless steel be used on induction cooktop?,1
is job termination the same as being fired?,1
does age have any influence on attentional ability or inattentional blindness?,1
is sanskrit the first language of the world?,1
is a jack russell considered a small breed?,1
does air force one travel with fighter escort?,1
is it legal to own an ar15 in california?,1
is the national anthem and star spangled banner the same?,1
is there an international airport in naples italy?,1
can you buy cadburys creme eggs all year round?,1
do homologous chromosomes carry information for the same traits?,1
has michigan ever won a national championship in football?,1
you can tell a lot about a person by how they treat their waiter?,1
are there any crocodiles native to north america?,1
does lex luthor know who superman is in smallville?,1
do you have to have a college degree to take the bar exam?,1
will there be a season 2 of marvel's iron fist?,1
is 844 a toll free number in canada?,1
does any other country have daylight savings time?,1
has anyone ever pitched back to back no hitters?,1
is there a black bike week in myrtle beach?,1
are static shock and black lightning the same person?,1
is there such a thing as unbreakable glass?,1
can liquid latex be used as an adhesive?,1
is it illegal to carry a pistol in your car in texas?,1
is it legal to carry a sgian dubh?,1
several cranial nerves innervate structures of the tongue?,1
is porto rico a part of the united states?,1
is there sales tax in the state of washington?,1
has anyone scored 6 goals in one game?,1
can puppies see right when their eyes open?,1
is the sears tower the same as the hancock building?,1
is tokyo ghoul re related to tokyo ghoul?,1
do texas state troopers have to wear hats?,1
is vaping illegal if you are under 18?,1
is wheat flour and white flour the same thing?,1
do they find the body in stand by me?,1
did the english win the hundred years war?,1
is ferguson jenkins in the hall of fame?,1
are family dollar and dollar general the same company?,1
is station 19 a grey's anatomy spin off?,1
are tomatoes a member of the nightshade family?,1
is dollar tree the same as dollar general?,1
does the cat in the hat have a name?,1
the movie rudy based on a true story?,1
is the movie the wall a true story?,1
is it legal to carry a gun in nyc?,1
the former soviet union broke into separate states?,1
does hot and sour soup have a lot of sodium?,1
would a person sink in a corn silo?,1
paths from the cerebral cortex to the spinal cord are called the corticospinal tracts?,1
do you have to bounce the ball in afl?,1
is a denatured protein still able to function?,1
is the movie the mountain between us based on a real story?,1
do you have to pay taxes in the united states?,1
are the marines part of the us navy?,1
does liquid coffee mate have to be refrigerated?,1
will there be a uk general election in 2018?,1
can i use dexron iii for dexron ii?,1
can i own a handgun in the uk?,1
can you have two jobs in south africa?,1
are long term capital gains taxed at a lower rate?,1
does oregon have the stand your ground law?,1
are pumas cougars and mountain lions the same animal?,1
is popeye the sailor man a disney character?,1
has tom hanks ever won an academy award?,1
is jim hart in the hall of fame?,1
do you need a gun license to buy a gun in nj?,1
is it legal to drink in public in london?,1
do you have to register to vote in america?,1
are chess pie and buttermilk pie the same?,1
true or false anaphylaxis generally only affects the skin and eyes?,1
do you need to fast for random glucose test?,1
is there going to be a season 4 of the border?,1
does the nissan rogue have all wheel drive?,1
is fear the walking dead set before the walking dead?,1
do new zealand and australia have the same flag?,1
did austria qualify for the world cup 2018?,1
is carrie underwood in the movie soul surfer?,1
is there a difference between saline and lactated ringer's?,1
is one flew over the cuckoo's nest a true story?,1
do you put water in a fog machine?,1
when sandy hit nj was it a hurricane?,1
is there an age limit to run for congress?,1
during his lifetime an athenian citizen could serve on the council of five hundred?,1
was call me by your name a book?,1
has england won any world cup in cricket?,1
is watcher in the woods a disney movie?,1
do supreme court judges get secret service protection?,1
